,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
150,2015231068,9,THEFT BY SHOPLIFTING          ,Theft,23-Jan-15,1000 E 41ST ST                                                                                      ,C,22-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
151,2015231158,9,THEFT BY SHOPLIFTING          ,Theft,23-Jan-15,1000 E 41ST ST                                                                                      ,C,25-Jan-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
152,2015290977,9,THEFT BY SHOPLIFTING          ,Theft,29-Jan-15,1000 E 41ST ST                                                                                      ,C,18-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
153,20155004016,9,THEFT BY SHOPLIFTING          ,Theft,29-Jan-15,1000 E 41ST ST                                                                                      ,N,3-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
154,20155004891,9,THEFT BY SHOPLIFTING          ,Theft,4-Feb-15,1000 E 41ST ST                                                                                      ,N,5-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
155,20155004928,9,BURGLARY OF VEHICLE           ,Theft,4-Feb-15,1000 E 41ST ST                                                                                      ,N,11-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
156,2015390998,9,THEFT BY SHOPLIFTING          ,Theft,8-Feb-15,1000 E 41ST ST                                                                                      ,C,15-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
157,20155005706,9,THEFT OF BICYCLE              ,Theft,9-Feb-15,1000 E 41ST ST                                                                                      ,N,11-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
158,20155005903,9,THEFT                         ,Theft,10-Feb-15,1000 E 41ST ST                                                                                      ,N,11-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
159,2015440844,9,THEFT BY SHOPLIFTING          ,Theft,13-Feb-15,1000 E 41ST ST                                                                                      ,C,26-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
160,2015451294,9,ROBBERY BY ASSAULT            ,Robbery,14-Feb-15,1000 E 41ST ST                                                                                      ,C,18-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
161,20155006746,9,THEFT                         ,Theft,16-Feb-15,1000 E 41ST ST                                                                                      ,N,18-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
162,2015510854,9,THEFT BY SHOPLIFTING          ,Theft,20-Feb-15,1000 E 41ST ST                                                                                      ,,,B,78751,3.02,3121345,10082705,36.104274,-95.979999
163,2015511292,9,THEFT BY SHOPLIFTING          ,Theft,20-Feb-15,1000 E 41ST ST                                                                                      ,C,10-Mar-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
164,20155007435,9,THEFT BY SHOPLIFTING          ,Theft,20-Feb-15,1000 E 41ST ST                                                                                      ,N,24-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
165,2015510835,9,THEFT                         ,Theft,20-Feb-15,1000 E 41ST ST                                                                                      ,C,26-Feb-15,B,78751,3.02,3121345,10082705,36.104274,-95.979999
